TAP_College_Code,TAP_Sector_Group,TAP_College_Name,prev_scholarship,family_Employees,Scholarship_Headcount,Active_Student,Family_Card,Academic_year,Semister_Aattendence,GPA,Annual_income,Scholarship_rupees 
1415,1-CUNY SR,CUNY MEDGER EVERS COLLEGE,N,2,35,Y,Y,2016,68,7.6,119961,43517.62
1414,1-CUNY SR,CUNY JOHN JAY COLLEGE,Y,4,159,N,N,2016,73,5.9,103804,52780.08
1413,1-CUNY SR,CUNY HUNTER COLLEGE,N,1,550,Y,Y,2016,75,6.8,110973,36566
1412,1-CUNY SR,CUNY HERBERT H LEHMAN COLLEGE,Y,3,170,N,N,2016,66,6.9,97812,37238.01
1410,1-CUNY SR,CUNY BROOKLYN COLLEGE,N,2,276,Y,Y,2016,90,6.5,101948,45681.11
1409,1-CUNY SR,CUNY BARUCH COLLEGE,Y,1,349,N,N,2016,81,3.4,50809,37342.13
1407,2-CUNY CC,CUNY QUEENSBOROUGH CC,N,4,31,Y,Y,2016,89,3.5,102416,49912.86
1404,2-CUNY CC,CUNY MANHATTAN CC,Y,3,71,N,N,2016,68,5.2,107284,35873.81
1403,2-CUNY CC,CUNY LAGUARDIA CC,N,2,37,Y,Y,2016,68,6.2,116420,51188.39
1402,2-CUNY CC,CUNY KINGSBOROUGH CC,Y,4,30,N,N,2016,72,5.7,105932,44468.43
1400,2-CUNY CC,CUNY BRONX CC,N,2,28,Y,Y,2016,70,4.4,58129,40062.11
8556,VOCATIONAL - VET SCHOOLS ONLY,LONG ISLAND NAIL & SKIN CARE INST,Y,4,1,N,N,2016,88,5.8,86902,46327.78
1099,5-INDEPENDENT,METROPOLITAN COLLEGE OF NY,N,3,5,Y,Y,2016,72,4.8,105131,40316.73
1085,5-INDEPENDENT,YESHIVA UNIVERSITY,Y,2,40,N,N,2016,80,9.1,55070,35152.55
1050,5-INDEPENDENT,WELLS COLLEGE,N,4,34,Y,Y,2016,99,3.7,74923,45286.84
1045,5-INDEPENDENT,WEBB INST OF NAVAL ARCH.,Y,1,5,N,N,2016,68,7.6,114373,47203.54
1040,5-INDEPENDENT,WAGNER COLLEGE,N,3,53,Y,Y,2016,69,5.9,90752,35877.66
1030,5-INDEPENDENT,VASSAR COLLEGE,Y,2,95,N,N,2016,86,6.8,70740,49468.73
1401,2-CUNY CC,CUNY HOSTOS CC,N,1,19,Y,Y,2016,89,6.9,60573,46538.11
1022,5-INDEPENDENT,SYRACUSE UNIV UTICA COLLEGE,Y,4,61,N,N,2016,80,6.5,119095,42944.05
1016,5-INDEPENDENT,UNIVERSITY OF ROCHESTER,N,3,7,Y,Y,2016,99,3.4,68406,48325.21
1015,5-INDEPENDENT,UNIVERSITY OF ROCHESTER,Y,2,403,N,N,2016,67,3.5,67252,40825.9
1010,3-SUNY SO,SUNY BUFFALO,N,4,1413,Y,Y,2016,94,5.2,47987,51759.34
1405,1-CUNY SR,CUNY NYC COLLEGE OF TECHNOLOGY,Y,4,127,N,N,2016,82,6.2,108947,43586.76
999,5-INDEPENDENT,EXCELSIOR COLLEGE,N,3,17,Y,Y,2016,86,5.7,111546,48416.34
995,5-INDEPENDENT,ALBANY COLLEGE OF PHARMACY,Y,2,105,N,N,2016,67,4.4,75686,40347.81
990,5-INDEPENDENT,UNION COLLEGE,N,4,82,Y,Y,2016,71,5.8,102736,46402.55
985,5-INDEPENDENT,SYRACUSE UNIVERSITY (UNDERGRAD),Y,1,431,N,N,2016,87,4.8,74765,50585.76
1411,1-CUNY SR,CUNY CITY COLLEGE,N,3,592,Y,Y,2016,92,9.1,58015,38791.31
975,4-SUNY CC,FASHION INST TECH UPPER DIVISION,Y,2,30,N,N,2016,72,3.7,51623,38803.96
970,3-SUNY SO,SUC PURCHASE,N,1,58,Y,Y,2016,69,7.6,76128,40512.92
965,3-SUNY SO,SUNY COLLEGE AT OLD WESTBURY (UG),Y,4,47,N,N,2016,77,5.9,104888,36242.04
960,3-SUNY SO,ALFRED UNIVERSITY,N,3,27,Y,Y,2016,73,6.8,113325,42157.79
955,3-SUNY SO,SUNY MARITIME COLLEGE,Y,2,55,N,N,2016,92,6.9,90043,39999.82
950,3-SUNY SO,SUC ENV SCI&FORESTRY,N,4,182,Y,Y,2016,84,6.5,49674,42915.15
945,3-SUNY SO,SUC POTSDAM,Y,2,148,N,N,2016,74,3.4,74511,41663.76
940,3-SUNY SO,SUNY PLATTSBURGH,N,1,115,Y,Y,2016,82,3.5,115199,45428.18
1420,1-CUNY SR,CUNY GRAD SCH UNDERGRAD PROG,Y,4,7,N,N,2016,66,5.2,97586,52936.63
1674,8-OTHER,NEW YORK  METHODIST HOSPITAL,N,3,2,Y,Y,2016,72,6.2,45986,47895.36
935,3-SUNY SO,SUC OSWEGO (UNDERGRAD),Y,2,249,N,N,2016,90,5.7,53777,38009
930,3-SUNY SO,SUC ONEONTA,N,4,185,Y,Y,2016,90,4.4,72275,50479.6
925,3-SUNY SO,SUC NEW PALTZ,Y,4,245,N,N,2016,86,5.8,104712,52276.76
920,3-SUNY SO,SUC GENESEO,N,3,627,Y,Y,2016,67,4.8,84575,36461.15
2035,5-INDEPENDENT,CAZENOVIA COLLEGE,Y,2,35,N,N,2016,86,9.1,46595,44449.43
915,3-SUNY SO,SUC FREDONIA,N,4,162,Y,Y,2016,97,3.7,73937,46486.07
913,3-SUNY SO,SUC EMPIRE STATE COLLEGE,Y,1,121,N,N,2016,66,7.6,114414,40062.04
910,3-SUNY SO,SUC CORTLAND (UNDERGRAD),N,3,128,Y,Y,2016,78,5.9,97626,47910.09
905,3-SUNY SO,SUC BUFFALO,Y,2,139,N,N,2016,75,6.8,82247,45392.12
900,3-SUNY SO,SUC BROCKPORT (UNDERGRAD),N,1,187,Y,Y,2016,76,6.9,91409,45415.34
895,3-SUNY SO,SUNY ALBANY (UNDERGRAD),Y,4,396,N,N,2016,93,4.4,77505,51215.25
890,3-SUNY SO,SUNY UPSTATE MEDICAL UNIV,N,3,6,Y,Y,2016,98,5.8,119136,41963.68
880,3-SUNY SO,SUNY BINGHAMTON,Y,2,1455,N,N,2016,78,4.8,46402,36756.22
2065,4-SUNY CC,ERIE COMMUNITY COLL - ALL CAMPUS,N,4,71,Y,Y,2016,91,9.1,54341,43091.56
875,3-SUNY SO,SUNY STONY BROOK,Y,2,1112,N,N,2016,85,3.7,103113,36767.49
865,5-INDEPENDENT,TOURO COLLEGE,N,4,92,Y,Y,2016,77,7.6,109542,41594.95
855,5-INDEPENDENT,SKIDMORE COLLEGE,Y,3,66,N,N,2016,78,5.9,91620,51707.47
845,5-INDEPENDENT,SARAH LAWRENCE COLLEGE,N,2,5,Y,Y,2016,89,6.8,56796,42299.74
2083,5-INDEPENDENT,HILBERT COLLEGE,Y,4,10,N,N,2016,66,6.9,115964,42225.28
2105,4-SUNY CC,MOHAWK VALLEY COMMUNITY COLLEGE,N,1,34,Y,Y,2016,71,6.5,73500,37972.84
838,5-INDEPENDENT,ST PAUL'S SCH NURSING MED/DENTAL,Y,3,1,N,N,2016,77,3.4,60400,44135.19
836,5-INDEPENDENT,ST PAUL'S SCH NURSING SI,N,2,1,Y,Y,2016,89,3.5,89146,46979.25
830,5-INDEPENDENT,ST THOMAS AQUINAS COLLEGE,Y,1,21,N,N,2016,67,5.2,109299,54183.79
775,5-INDEPENDENT,ST LAWRENCE UNIVERSITY,N,4,108,Y,Y,2016,76,6.2,106371,46163.27
765,5-INDEPENDENT,ST JOSEPH HOSP SCH NURS SYRACUSE,Y,3,6,N,N,2016,77,5.7,53609,42218.77
762,5-INDEPENDENT,ST JOSEPHS COLLEGE - WEEKEND,N,2,1,Y,Y,2016,78,4.4,95718,41574.53
758,5-INDEPENDENT,ST JOSEPHS COLLEGE,Y,4,86,N,N,2016,82,5.8,116979,48406.37
755,5-INDEPENDENT,ST JOSEPHS COLLEGE,N,4,43,Y,Y,2016,94,4.8,64977,44149.17
2157,4-SUNY CC,SUFFOLK COMMUNITY COLLEGE,Y,3,111,N,N,2016,78,9.1,113002,48159.28
751,5-INDEPENDENT,ST JOHNS UNIVERSITY,N,2,403,Y,Y,2016,94,3.7,82018,43408.95
735,5-INDEPENDENT,ST JOHN FISHER COLLEGE,Y,4,115,N,N,2016,79,7.6,69877,49517.81
715,5-INDEPENDENT,ST FRANCIS COLLEGE,N,1,37,Y,Y,2016,70,5.9,53511,52473.16
710,5-INDEPENDENT,ST ELIZABETH COLG OF NURSING,Y,3,4,N,N,2016,94,6.8,66549,37446.2
2185,4-SUNY CC,ONONDAGA COMMUNITY COLLEGE,N,2,66,Y,Y,2016,67,6.9,114678,51810.07
695,5-INDEPENDENT,ST BONAVENTURE UNIVERSITY,Y,1,66,N,N,2016,78,6.5,51380,48518.64
685,5-INDEPENDENT,SIENA COLLEGE,N,4,154,Y,Y,2016,72,3.4,119438,46135.18
675,5-INDEPENDENT,THE SAGE COLLEGES,Y,3,31,N,N,2016,99,3.5,118675,53351.11
670,5-INDEPENDENT,DAEMEN COLLEGE,N,2,100,Y,Y,2016,70,5.2,77176,37635.2
2225,4-SUNY CC,SULLIVAN COMMUNITY COLLEGE,Y,4,5,N,N,2016,81,6.2,86564,52829.82
650,5-INDEPENDENT,ROCHESTER INSTITUTE OF TECHLGY,N,1,644,Y,Y,2016,87,5.7,54381,50883.71
641,5-INDEPENDENT,ROBERTS WESLEYAN COLLEGE,Y,4,1,N,N,2016,94,4.4,75865,53275.3
640,5-INDEPENDENT,ROBERTS WESLEYAN COLLEGE,N,3,62,Y,Y,2016,93,5.8,119769,42375.8
635,5-INDEPENDENT,RENSSELAER POLYTECHNIC INST,Y,2,347,N,N,2016,92,4.8,115540,42678.24
2258,4-SUNY CC,NORTH COUNTRY COMMUNITY COLLEGE,N,4,10,Y,Y,2016,90,9.1,103833,42923.08
615,5-INDEPENDENT,PRATT INSTITUTE,Y,1,25,N,N,2016,79,3.7,63659,36812.18
605,6-BUS. DEGREE,PACIFIC COLLEGE OF ORIENTAL MED,N,3,1,Y,Y,2016,86,7.6,46433,54394.85
591,5-INDEPENDENT,PACE UNIVERSITY WESTCHESTER,Y,2,53,N,N,2016,79,5.9,93371,48821.75
590,5-INDEPENDENT,PACE UNIVERSITY,N,1,90,Y,Y,2016,85,6.8,65783,35509.74
2300,5-INDEPENDENT,MERCY COLLEGE,Y,4,1,N,N,2016,76,6.9,73908,47489.73
575,5-INDEPENDENT,NYACK COLLEGE,N,3,9,Y,Y,2016,71,6.5,51758,48493.24
560,5-INDEPENDENT,NIAGARA UNIVERSITY,Y,2,94,N,N,2016,72,3.4,116831,37728.98
555,5-INDEPENDENT,NEW YORK UNIVERSITY,N,4,464,Y,Y,2016,91,3.5,79502,51583.26
535,5-INDEPENDENT,THE NEW SCHOOL,Y,4,32,N,N,2016,90,5.2,48228,51900.17
525,5-INDEPENDENT,NAZARETH COLLEGE,N,3,252,Y,Y,2016,95,6.2,54669,49386.27
505,5-INDEPENDENT,MEDAILLE COLLEGE,Y,2,30,N,N,2016,84,5.7,65466,43782.85
500,5-INDEPENDENT,MOLLOY COLLEGE,N,4,77,Y,Y,2016,91,4.4,54108,49977.61
447,5-INDEPENDENT,MARYMOUNT MANHATTAN COLLEGE,Y,1,13,N,N,2016,77,5.8,85827,42851.38
3010,3-SUNY SO,SUNY COLLEGE OF TECH AT CANTON,N,3,27,Y,Y,2016,73,4.8,111501,48781.67
440,5-INDEPENDENT,MARIST COLLEGE,Y,2,127,N,N,2016,90,9.1,82844,39825.72
438,5-INDEPENDENT,ST PAUL'S SCH NURSING MED ASSIST,N,1,1,Y,Y,2016,78,3.7,103623,42691.81
5024,3-SUNY SO,SUNY COLLEGE DELHI NURSING PROG,Y,4,4,N,N,2016,98,7.6,78631,41637.97
437,5-INDEPENDENT,ST PAUL'S SCH NURSING,N,3,2,Y,Y,2016,67,5.9,93701,36781.07
420,5-INDEPENDENT,MANHATTANVILLE COLLEGE,Y,2,23,N,N,2016,68,6.8,110745,51990.57
5083,5-INDEPENDENT,HILBERT COLLEGE,N,4,1,Y,Y,2016,75,6.9,111627,47480.08
410,5-INDEPENDENT,MANHATTAN SCHOOL OF MUSIC,Y,2,4,N,N,2016,80,6.5,105321,43777.56
405,5-INDEPENDENT,MANHATTAN COLLEGE,N,4,125,Y,Y,2016,87,3.4,111600,42130.45
403,5-INDEPENDENT,LONG ISLAND UNIVERSITY,Y,3,112,N,N,2016,83,3.5,58533,46179.99
375,5-INDEPENDENT,LEMOYNE COLLEGE,N,2,162,Y,Y,2016,91,5.2,60094,52930.05
5140,5-INDEPENDENT,UNIVERSITY OF ROCHESTER,Y,4,5,N,N,2016,97,6.2,50010,39650.32
355,5-INDEPENDENT,THE KING'S COLLEGE,N,1,1,Y,Y,2016,94,5.7,75950,50505.85
345,5-INDEPENDENT,KEUKA COLLEGE,Y,3,27,N,N,2016,68,4.4,79078,54443.94
340,5-INDEPENDENT,JUILLIARD SCHOOL,N,2,1,Y,Y,2016,91,5.8,110714,35838.37
330,5-INDEPENDENT,ITHACA COLLEGE,Y,1,175,N,N,2016,70,4.8,92820,37127.19
325,5-INDEPENDENT,IONA COLLEGE,N,4,61,Y,Y,2016,87,9.1,63585,45494.51
305,5-INDEPENDENT,HOUGHTON COLLEGE,Y,3,71,N,N,2016,95,3.7,50193,50987.34
300,5-INDEPENDENT,HOFSTRA UNIVERSITY,N,2,157,Y,Y,2016,82,7.6,94516,40364.46
295,5-INDEPENDENT,HOBART AND WILLIAM SMITH COLLEGES,Y,4,62,N,N,2016,94,5.9,59399,44402.04
5390,3-SUNY SO,SUNY AT ALBANY GRAD,N,4,12,Y,Y,2016,81,6.8,90393,44008.92
285,5-INDEPENDENT,HARTWICK COLLEGE,Y,3,64,N,N,2016,69,6.9,84408,39057.26
270,5-INDEPENDENT,HAMILTON COLLEGE,N,2,98,Y,Y,2016,78,6.5,101462,47811.33
5410,5-INDEPENDENT,WAGNER COLLEGE,Y,4,1,N,N,2016,84,3.4,114754,45636.89
245,5-INDEPENDENT,FORDHAM UNIVERSITY,N,1,399,Y,Y,2016,88,3.5,63716,44945.9
215,5-INDEPENDENT,ELMIRA COLLEGE,Y,3,79,N,N,2016,71,5.2,91458,42017.59
5430,3-SUNY SO,SUNY STONY BROOK,N,2,13,Y,Y,2016,68,6.2,71150,38065.17
210,5-INDEPENDENT,THE BELANGER SCHOOL OF NURSING,Y,1,1,N,N,2016,97,5.7,105988,50954.55
195,5-INDEPENDENT,D'YOUVILLE COLLEGE,N,4,63,Y,Y,2016,86,4.4,109047,47039.13
190,5-INDEPENDENT,CROUSE HOSPITAL,Y,3,1,N,N,2016,90,5.8,94764,50897.9
175,5-INDEPENDENT,CORNELL UNIVERSITY,N,2,505,Y,Y,2016,79,4.8,118082,48736.32
25,8-OTHER,ARNOT OGDEN MEDICAL CENTER,Y,4,1,N,N,2016,76,9.1,73626,48410.95
174,3-SUNY SO,CORNELL UNIV STATUTORY COLLEGES,N,2,451,Y,Y,2016,67,3.7,65466,50036.69
171,5-INDEPENDENT,COLUMBIA UNIV,Y,1,216,N,N,2016,81,7.6,77922,48073.96
170,5-INDEPENDENT,COOPER UNION ADVNCMT SCI ART,N,4,35,Y,Y,2016,99,5.9,101919,50415.13
155,5-INDEPENDENT,BARNARD COLLEGE,Y,3,76,N,N,2016,91,6.8,66354,35418.8
5615,3-SUNY SO,SUC POTSDAM,N,2,4,Y,Y,2016,93,6.9,71107,54654.85
140,5-INDEPENDENT,COLLEGE OF SAINT ROSE,Y,4,67,N,N,2016,99,6.5,70538,45292.84
136,5-INDEPENDENT,COLL OF NEW ROCHELLE NEW RESOURCE,N,4,13,Y,Y,2016,66,3.4,57883,49192.21
130,5-INDEPENDENT,COL OF MT ST VINCENT 4YR SEM,Y,3,25,N,N,2016,77,3.5,80553,35679.01
125,5-INDEPENDENT,COLGATE UNIVERSITY,N,2,124,Y,Y,2016,99,5.2,103811,52348.11
5680,3-SUNY SO,SUC EMPIRE STATE COLLEGE,Y,4,4,N,N,2016,99,6.2,88807,48853.71
5730,5-INDEPENDENT,ROBERTS WESLEYAN COLLEGE-GRAD,N,1,3,Y,Y,2016,75,5.7,68323,51237.79
120,5-INDEPENDENT,CLARKSON UNIVERSITY,Y,3,376,N,N,2016,82,4.4,73034,52273.78
90,5-INDEPENDENT,CANISIUS COLLEGE,N,2,113,Y,Y,2016,66,5.8,50091,40600.17
55,5-INDEPENDENT,BRAMSON ORT COLLEGE,Y,1,1,N,N,2016,73,4.8,46266,42547.52
35,5-INDEPENDENT,BARD COLLEGE,N,4,25,Y,Y,2016,90,9.1,97765,49195.9
8560,VOCATIONAL - VET SCHOOLS ONLY,LAQUARDIA COMMUNITY COLLEGE,Y,3,1,N,N,2016,65,3.7,62428,48424.58
20,5-INDEPENDENT,ALFRED UNIVERSITY,N,2,57,Y,Y,2016,85,7.6,92285,47738.91
8557,VOCATIONAL - VET SCHOOLS ONLY,MADISON ONEIDA BOCES,Y,4,1,N,N,2016,78,5.9,90644,52943.09
10,5-INDEPENDENT,ADELPHI UNIVERSITY,N,2,162,Y,Y,2016,87,6.8,100820,54871.34
8545,VOCATIONAL - VET SCHOOLS ONLY,THE DIGITAL FILM ACADEMCY,Y,4,1,N,N,2016,97,6.9,79293,51335.27
8532,VOCATIONAL - VET SCHOOLS ONLY,INTERNATIONAL CULINARY CENTER,N,3,8,Y,Y,2016,71,6.5,116267,36498.53
8528,VOCATIONAL - VET SCHOOLS ONLY,NEW YORK AUTOMOTIVE & DIESEL INST,Y,2,13,N,N,2016,85,3.4,46370,39706.28
8510,VOCATIONAL - VET SCHOOLS ONLY,CNW SCHOOL OF MASSAGE THERAPY,N,4,1,Y,Y,2016,82,3.5,89077,51633.14
8509,VOCATIONAL - VET SCHOOLS ONLY,ONONDAGA CORTLAND MADISON BOCES,Y,1,1,N,N,2016,87,5.2,64843,44598.64
8507,VOCATIONAL - VET SCHOOLS ONLY,FINGER LAKES SCHOOL OF MASSAGE,N,3,1,Y,Y,2016,65,6.2,55660,45563.15
8505,VOCATIONAL - VET SCHOOLS ONLY,WESTERN SUFFOLK BOCES,Y,2,1,N,N,2016,89,5.7,81293,49567.11
8502,VOCATIONAL - VET SCHOOLS ONLY,"NATIONAL TRACTOR TRAILER SCHOOL,",N,1,3,Y,Y,2016,69,4.4,115486,36819.64
8501,VOCATIONAL - VET SCHOOLS ONLY,"NATIONAL TRACTOR TRAILER SCHOOL,",Y,4,6,N,N,2016,79,5.8,68175,47565.88
7858,6-BUS. DEGREE,SCHOOL OF VISUAL ARTS,N,3,20,Y,Y,2016,91,4.8,88305,39960.68
7830,6-BUS. DEGREE,TECHNICAL CAREER INSTITUTES,Y,2,7,N,N,2016,72,9.1,118147,47256.71
7826,6-BUS. DEGREE,ART INSTITUTE OF NEW YORK CITY,N,4,1,Y,Y,2016,77,3.7,59483,36402.6
7738,6-BUS. DEGREE,LONG ISLAND BUSINESS INSTITUTE,Y,4,1,N,N,2016,97,7.6,49709,54024.51
7736,6-BUS. DEGREE,BRYANT & STRATTON SYRACUSE,N,3,2,Y,Y,2016,94,5.9,117517,42644
7734,6-BUS. DEGREE,BRYANT & STRATTON ROCHESTER,Y,2,3,N,N,2016,97,6.8,114256,53948.68
7732,6-BUS. DEGREE,BRYANT & STRATTON BUFFALO,N,4,6,Y,Y,2016,71,6.9,114840,44731.29
7725,6-BUS. DEGREE,ASA INSTITUTE OF BUSINESS,Y,1,2,N,N,2016,74,4.4,102971,42414.22
7699,6-BUS. DEGREE,PLAZA COLLEGE-2YR,N,3,1,Y,Y,2016,73,5.8,104575,36498.93
7518,6-BUS. DEGREE,MONROE COLLEGE,Y,2,16,N,N,2016,76,4.8,68517,51382.63
7510,6-BUS. DEGREE,EMPIRE EDUCATION CORPORATION,N,1,7,Y,Y,2016,89,9.1,59126,47663.26
7264,6-BUS. DEGREE,BRIARCLIFFE COLLEGE-BOHEMIA,Y,4,4,N,N,2016,81,3.7,94090,48431.05
7124,6-BUS. DEGREE,COLL WESTCHESTER 2YR,N,3,1,Y,Y,2016,98,7.6,49320,45821.08
7030,6-BUS. DEGREE,BERKELEY COLLEGE,Y,2,5,N,N,2016,88,5.9,59440,46006.3
7730,6-BUS. DEGREE,BRYANT & STRATTON ALBANY,N,4,3,Y,Y,2016,71,6.8,118126,45509.43
6732,6-BUS. DEGREE,BRYANT & STRATTON BUFFALO,Y,1,2,N,N,2016,84,6.9,79272,47229.5
6730,6-BUS. DEGREE,BERKELEY COLLEGE,N,4,18,Y,Y,2016,87,6.5,115654,35620.74
6480,6-BUS. DEGREE,JAMESTOWN BUSINESS COLLEGE,Y,3,1,N,N,2016,78,3.4,111826,37051.85
6315,6-BUS. DEGREE,DEVRY COLLEGE OF NEW YORK,N,2,8,Y,Y,2016,68,3.5,50569,43913.9
6270,5-INDEPENDENT,NY COLL HEALTH PROF,Y,4,1,N,N,2016,81,5.2,104561,54085.3
6262,6-BUS. DEGREE,BRIARCLIFFE COLLEGE,N,1,3,Y,Y,2016,91,6.2,93583,37243.31
6144,5-INDEPENDENT,TROCAIRE COLLEGE,Y,3,2,N,N,2016,87,5.7,45607,38805.77
6140,5-INDEPENDENT,PAUL SMITHS COLLEGE,N,2,10,Y,Y,2016,99,4.4,81276,42873.64
7895,6-BUS. DEGREE,WOOD TOBE-COBURN SCHOOL,Y,1,2,N,N,2016,71,5.8,59060,54012.14
6124,6-BUS. DEGREE,COLL WESTCHESTER 4YR BBA DAY,N,4,2,Y,Y,2016,90,4.8,91998,48137.76
6121,6-BUS. DEGREE,COLL WESTCHESTER 4YR BBA EVE,Y,3,1,N,N,2016,97,9.1,112064,51606.11
8506,VOCATIONAL - VET SCHOOLS ONLY,CHARLES STUART SCHOOL,N,2,10,Y,Y,2016,91,3.7,50387,45119.31
6093,5-INDEPENDENT,MARIA COLLEGE 4 YR,Y,4,3,N,N,2016,72,7.6,83724,51461.68
6045,5-INDEPENDENT,CULINARY INSTITUTE OF AMERICA,N,4,2,Y,Y,2016,66,5.9,111741,40301.97
8518,VOCATIONAL - VET SCHOOLS ONLY,LINCOLN TECHNICAL INSTITUTE,Y,3,1,N,N,2016,74,6.8,90253,43630.17
6030,3-SUNY SO,MORRISVILLE STATE COLLEGE,N,2,15,Y,Y,2016,65,6.9,95232,36445.14
6025,3-SUNY SO,SUNY COLLEGE OF TECH FARMINGDALE,Y,4,77,N,N,2016,76,6.5,109122,38299.42
6020,3-SUNY SO,SUNY COLLEGE OF TECH AT DELHI,N,1,14,Y,Y,2016,67,3.4,99585,35807.45
6018,6-BUS. DEGREE,MONROE COLLEGE,Y,3,30,N,N,2016,70,3.5,64345,51498.67
6015,3-SUNY SO,SUNY COBLESKILL,N,2,31,Y,Y,2016,71,5.2,66882,53601.76
6010,3-SUNY SO,SUNY COLLEGE OF TECH AT CANTON,Y,1,44,N,N,2016,93,6.2,104956,36723.83
6005,3-SUNY SO,SUNY COLLEGE OF TECH AT ALFRED,N,4,84,Y,Y,2016,89,5.7,57691,53673.57
5960,5-INDEPENDENT,DOMINICAN COLLEGE BLAUVELT-GRAD,Y,3,8,N,N,2016,96,4.4,82878,39788.12
5955,5-INDEPENDENT,ST JOSEPHS COLLEGE,N,2,6,Y,Y,2016,85,5.8,93424,40147.27
5830,5-INDEPENDENT,MOLLOY COLLEGE,Y,4,2,N,N,2016,68,4.8,96837,50735.94
5799,5-INDEPENDENT,EXCELSIOR COLLEGE GRAD,N,2,6,Y,Y,2016,85,9.1,87142,48649.31
5775,5-INDEPENDENT,DAEMEN COLLEGE GRAD,Y,4,4,N,N,2016,89,3.7,66882,44944.79
7833,6-BUS. DEGREE,ITT TECHNICAL INSTITUTE,N,3,2,Y,Y,2015,94,7.6,87591,41504.12
1421,2-CUNY CC,STELLA & CHARLES GUTTMAN CC,Y,2,5,N,N,2015,90,5.9,87107,39489.72
7830,6-BUS. DEGREE,TECHNICAL CAREER INSTITUTES,N,4,5,Y,Y,2015,77,6.8,76164,50688.13
7826,6-BUS. DEGREE,ART INSTITUTE OF NEW YORK CITY,Y,1,2,N,N,2015,94,6.9,46567,35830.33
755,5-INDEPENDENT,ST JOSEPHS COLLEGE,N,3,38,Y,Y,2015,71,6.5,105365,47934.27
1420,1-CUNY SR,CUNY GRAD SCH UNDERGRAD PROG,Y,2,5,N,N,2015,91,3.4,117178,43798.48
7816,6-BUS. DEGREE,THE NY CONSERV FOR DRAMATIC ARTS,N,1,1,Y,Y,2015,79,3.5,99055,48949.61
7736,6-BUS. DEGREE,BRYANT & STRATTON SYRACUSE,Y,4,4,N,N,2015,79,5.2,58054,52348.6
1418,1-CUNY SR,CUNY YORK COLLEGE,N,3,85,Y,Y,2015,90,6.2,79845,37516.63
7734,6-BUS. DEGREE,BRYANT & STRATTON ROCHESTER,Y,2,3,N,N,2015,72,5.7,118008,41123.49
7732,6-BUS. DEGREE,BRYANT & STRATTON BUFFALO,N,4,6,Y,Y,2015,76,4.4,78999,54506.89
340,5-INDEPENDENT,JUILLIARD SCHOOL,Y,4,3,N,N,2015,70,5.8,62054,45695.19
751,5-INDEPENDENT,ST JOHNS UNIVERSITY,N,3,378,Y,Y,2015,77,4.8,48324,48268.61
1417,1-CUNY SR,CUNY COL STATEN ISLAND,Y,2,148,N,N,2015,67,9.1,104458,35340.83
7725,6-BUS. DEGREE,ASA INSTITUTE OF BUSINESS,N,4,2,Y,Y,2015,98,3.7,117895,52371.24
7718,6-BUS. DEGREE,MONROE COLLEGE,Y,1,2,N,N,2015,83,7.6,58635,46936.41
1416,1-CUNY SR,CUNY QUEENS COLLEGE,N,3,278,Y,Y,2015,69,5.9,59467,35455.1
7518,6-BUS. DEGREE,MONROE COLLEGE,Y,2,20,N,N,2015,86,6.8,92028,52399.48
7510,6-BUS. DEGREE,EMPIRE EDUCATION CORPORATION,N,1,1,Y,Y,2015,67,6.9,75161,41331.32
735,5-INDEPENDENT,ST JOHN FISHER COLLEGE,Y,4,108,N,N,2015,77,6.5,46790,47809.44
1415,1-CUNY SR,CUNY MEDGER EVERS COLLEGE,N,3,34,Y,Y,2015,83,3.4,89848,50864.37
7264,6-BUS. DEGREE,BRIARCLIFFE COLLEGE-BOHEMIA,Y,2,1,N,N,2015,96,3.5,109360,46482.49
7262,6-BUS. DEGREE,BRIARCLIFFE COLLEGE,N,4,1,Y,Y,2015,78,5.2,81953,41718.34
1414,1-CUNY SR,CUNY JOHN JAY COLLEGE,Y,2,156,N,N,2015,79,6.2,56272,43719.16
7124,6-BUS. DEGREE,COLL WESTCHESTER 2YR,N,1,5,Y,Y,2015,65,5.7,85401,50104.53
7121,6-BUS. DEGREE,COLL WESTCHESTER 2YR EVE,Y,4,1,N,N,2015,80,4.4,50962,46017.4
170,5-INDEPENDENT,COOPER UNION ADVNCMT SCI ART,N,3,29,Y,Y,2015,89,5.8,85272,54591.03
330,5-INDEPENDENT,ITHACA COLLEGE,Y,2,184,N,N,2015,82,4.8,47837,37296.91
715,5-INDEPENDENT,ST FRANCIS COLLEGE,N,4,34,Y,Y,2015,70,9.1,46794,47119.45
1413,1-CUNY SR,CUNY HUNTER COLLEGE,Y,4,536,N,N,2015,90,3.7,54658,36352.48
7030,6-BUS. DEGREE,BERKELEY COLLEGE,N,3,5,Y,Y,2015,77,7.6,104724,46527.81
6732,6-BUS. DEGREE,BRYANT & STRATTON BUFFALO,Y,2,4,N,N,2015,81,5.9,50687,51011.47
1412,1-CUNY SR,CUNY HERBERT H LEHMAN COLLEGE,N,4,143,Y,Y,2015,96,6.8,98591,54884.53
6730,6-BUS. DEGREE,BERKELEY COLLEGE,Y,1,18,N,N,2015,89,6.9,67107,47580.13
6480,6-BUS. DEGREE,JAMESTOWN BUSINESS COLLEGE,N,3,1,Y,Y,2015,99,6.5,64595,46985.14
